"Start Time","End Time","Text","Layer ID"
"00:00:02:03","00:00:03:00","בשביל לארח טורניר כזה","1"
"00:00:03:00","00:00:04:23","אתה צריך לספר סיפור על עצמך","1"
"00:00:06:01","00:00:06:18","שימו לב","1"
"00:00:06:18","00:00:08:03","״המיוחד״ כאן איתנו עכשיו","1"
"00:00:09:13","00:00:10:20","אם נשים  את הכדורגל במרכז","1"
"00:00:10:20","00:00:13:19","נוכל לקבע את כל הנרטיב סביבו","1"
"00:00:13:19","00:00:14:17","זה כזה בריטי","1"
"00:00:14:17","00:00:15:14","אלוהים...","1"
"00:00:17:08","00:00:19:16","אני מזמין את כולכם עכשיו בבקשה","1"
"00:00:19:16","00:00:20:22","להשאר לעמוד","1"
"00:00:22:13","00:00:24:08","הטורניר האחרון היה בקטאר","1"
"00:00:24:08","00:00:25:07","איך לעזאזל זה הצליח?","1"
"00:00:25:07","00:00:26:20","יש אמרה בערבית","1"
"00:00:26:20","00:00:28:20","עם קסמים הכל אפשרי","1"
"00:00:29:05","00:00:29:17","בסדר...","1"
